member_id,loan_status
10718089,0.8133772
35023176,0.810719
1268247,0.5214577
15559751,0.92502576
41234300,0.61770535
1057101,0.9754794
45430320,0.82603335
12096725,0.86722153
21137778,0.7071519
2917982,0.9111305
17792691,0.7918034
4585555,0.8027112
13786934,0.8042293
4417424,0.9211816
604548,0.96918845
2738027,0.8892327
2169020,0.91308284
1770051,0.95653564
1311222,0.97693175
7020851,0.85715795
8647965,0.6773882
3730402,0.8272824
10417131,0.52461535
4716909,0.87193286
14407931,0.7855374
6037725,0.79284436
44777279,0.90197116
671989,0.9814481
807217,0.9448865
45240571,0.8948601
23172283,0.6961396
12012020,0.9053856
7647616,0.7332785
8728894,0.9638501
17552706,0.8197117
7948020,0.6151867
10359306,0.60154617
1709032,0.97904646
1803885,0.94841474
772296,0.97427
832425,0.9730338
227380,0.9647735
1779852,0.9335961
13987701,0.75367373
921307,0.6547865
60022480,0.79508114
10748061,0.90725464
6586781,0.875812
5396945,0.79493475
64925101,0.9107299
19014984,0.7958647
2743788,0.9162682
1500952,0.9750685
10778478,0.9395292
1087506,0.7587598
1735809,0.92519206
14959722,0.9682432
22422037,0.6054077
1278815,0.8956108
1195655,0.98317045
1999199,0.93727875
37446165,0.893378
869098,0.97993416
7230197,0.5222382
2833139,0.92806184
15709699,0.52090585
10409511,0.9212405
567254,0.9758957
1733686,0.90869313
14828067,0.74274874
3086819,0.9012953
30035789,0.65941894
1690349,0.9412373
22691519,0.7107678
7196939,0.91798055
1685355,0.9729778
577660,0.9707362
2638428,0.89903355
13776975,0.59410244
15550430,0.85045344
7947582,0.93968
1436172,0.98016125
8755522,0.9086518
2036721,0.90606236
805367,0.8844531
8227409,0.8783572
2743367,0.8805891
1706344,0.9447506
9034252,0.67083627
14458747,0.790313
4380187,0.88925076
1700361,0.89806753
64923708,0.59881485
1582030,0.8456159
3875307,0.749285
1554958,0.9606939
10761422,0.8756224
1629698,0.9718027
750704,0.97757626
43288093,0.94275135
6417165,0.87767977
59791122,0.93258226
1825054,0.9052182
34121006,0.5387259
3178204,0.8481809
731147,0.8692672
772561,0.92096794
58780022,0.96979785
18644380,0.7227256
1594623,0.97826594
2706715,0.9230819
41319350,0.68973404
708568,0.9776724
1431759,0.9712073
1794709,0.8914493
1284677,0.97097707
12007685,0.5073765
7437144,0.79322904
1617230,0.9768422
1644321,0.9763825
1329332,0.98079175
1566153,0.9390036
609399,0.96684295
1899238,0.88598883
12020054,0.9211582
1281806,0.96703815
1097078,0.98363054
13658000,0.7189474
873036,0.70531535
4218876,0.9276896
21869746,0.7033017
6508630,0.75472087
11984623,0.94242203
42263527,0.6518826
43112625,0.7784206
690636,0.9809418
1360382,0.9737084
8743528,0.88164735
19355776,0.7342543
1857705,0.80661005
11050852,0.9255138
14619186,0.88954747
2356813,0.87477267
55457121,0.9053186
3539159,0.7452796
791401,0.9794216
15379621,0.6195824
791294,0.98095953
37085937,0.60303
6157450,0.87542254
743552,0.97891
8189082,0.9026213
1845834,0.8303936
1098488,0.9436258
9977360,0.92022306
8105125,0.80826145
19505787,0.9159979
760006,0.97266585
859168,0.8401675
1881798,0.9067011
11216949,0.64308006
1287653,0.960604
14298631,0.8351888
32698745,0.7461437
23034962,0.6869325
6060550,0.857979
653993,0.8778249
1278603,0.9654029
6878152,0.61642027
7028168,0.8471311
1229752,0.97651005
15859904,0.94021934
1521821,0.9625357
289584,0.96985155
46676528,0.8208702
10800044,0.88455176
14248262,0.6231564
1454631,0.93866557
10792984,0.9147102
1402696,0.9755672
282175,0.935362
28380271,0.92997915
2837827,0.9363291
801616,0.8940467
920928,0.98031646
717815,0.9668856
1483739,0.5886708
20156826,0.8285015
1758758,0.92820126
1538840,0.9765629
26377998,0.9162281
3776850,0.85572857
1816859,0.9442149
1573737,0.70503867
944983,0.56218064
590964,0.9785084
1877389,0.8863456
1650022,0.9451316
16520650,0.8132009
2423109,0.9023003
6047898,0.54967314
13678163,0.9040859
46909387,0.88437694
1341095,0.96894896
14510439,0.74686795
40000298,0.69313747
2927891,0.86219794
4854574,0.9092392
13348243,0.77164567
4668020,0.9271588
1451718,0.971431
10637928,0.82781965
960696,0.97943294
8756031,0.67963696
1452406,0.97040504
3527544,0.8347992
30114150,0.7049511
545132,0.9362952
1367051,0.9746123
3266849,0.8472646
8129701,0.8891156
4231403,0.62909406
11018380,0.9428018
4858862,0.75375694
2837137,0.886494
12489107,0.9495278
69494349,0.52052563
3859374,0.5626652
8756838,0.81675124
49301880,0.84280103
20136877,0.71160614
985078,0.98393375
382804,0.8173952
1579589,0.9729522
1215567,0.87719834
13966999,0.960831
649372,0.9696648
11980464,0.79961336
14409125,0.6366379
1842644,0.93745095
13857668,0.85763663
500780,0.9428879
1544398,0.96466696
10296829,0.7202431
13546853,0.62285346
980426,0.98085886
667562,0.9103462
9397421,0.94701225
869744,0.97593
1846418,0.90618443
41485350,0.80221236
40690229,0.8723766
13339142,0.50162894
1683779,0.97728956
1741521,0.91719174
43286062,0.96923304
900964,0.52904236
6828347,0.7070627
4069623,0.769724
10148562,0.8421081
2287091,0.7586986
52537036,0.8261037
5488382,0.93890685
1754634,0.944658
728481,0.8685016
8177153,0.64124185
32758546,0.8595176
16642998,0.7320127
7126933,0.87558883
5819611,0.9096827
982996,0.9655807
1068026,0.9782593
1956774,0.9670633
